origin_iso,origin_name,origin_region_name,destination_iso,destination_name,destination_region_name,countryflow_2014,countryflow_2015
CH,Switzerland,ESRA North-West,IE,Ireland,ESRA North-West,1369,1495
CH,Switzerland,ESRA North-West,IT,Italy,ESRA Mediterranean,15892,16204
CH,Switzerland,ESRA North-West,LT,Lithuania,Other Europe,29,34
CH,Switzerland,ESRA North-West,LU,Luxembourg,ESRA North-West,2195,2158
CH,Switzerland,ESRA North-West,LV,Latvia,Other Europe,328,465
CH,Switzerland,ESRA North-West,MD,Moldova,ESRA East,31,35
CH,Switzerland,ESRA North-West,MK,Macedonia,ESRA East,471,655
CH,Switzerland,ESRA North-West,MT,Malta,ESRA Mediterranean,482,534
CH,Switzerland,ESRA North-West,NL,Netherlands,ESRA North-West,7693,7565
CH,Switzerland,ESRA North-West,NO,Norway,ESRA North-West,1293,1151
CH,Switzerland,ESRA North-West,PL,Poland,ESRA East,2665,2203
CH,Switzerland,ESRA North-West,PT,Portugal,ESRA Mediterranean,6085,6639
CH,Switzerland,ESRA North-West,RO,Romania,ESRA East,743,879
CH,Switzerland,ESRA North-West,RS,Serbia,ESRA East,3322,3266
CH,Switzerland,ESRA North-West,SE,Sweden,ESRA North-West,2736,2787
CH,Switzerland,ESRA North-West,SI,Slovenia,ESRA East,981,1201
CH,Switzerland,ESRA North-West,SJ,Svalbard & Jan Mayen,ESRA North-West,3,4
CH,Switzerland,ESRA North-West,SK,Slovakia,ESRA East,109,121
CH,Switzerland,ESRA North-West,TR,Turkey,ESRA Mediterranean,5467,5638
CH,Switzerland,ESRA North-West,UA,Ukraine,ESRA East,1326,1021
CY,Cyprus,ESRA Mediterranean,AL,Albania,ESRA East,2,0
CY,Cyprus,ESRA Mediterranean,AM,Armenia,Other Europe,11,11
CY,Cyprus,ESRA Mediterranean,AT,Austria,ESRA North-West,723,839
CY,Cyprus,ESRA Mediterranean,BA,Bosnia & Herzegovina,ESRA East,3,3
CY,Cyprus,ESRA Mediterranean,BE,Belgium,ESRA North-West,192,154
CY,Cyprus,ESRA Mediterranean,BG,Bulgaria,ESRA East,326,353
CY,Cyprus,ESRA Mediterranean,CH,Switzerland,ESRA North-West,497,442
CY,Cyprus,ESRA Mediterranean,CY,Cyprus,ESRA Mediterranean,118,272
CY,Cyprus,ESRA Mediterranean,CZ,Czechia,ESRA East,71,82
CY,Cyprus,ESRA Mediterranean,DE,Germany,ESRA North-West,815,1008
CY,Cyprus,ESRA Mediterranean,DK,Denmark,ESRA North-West,198,151
CY,Cyprus,ESRA Mediterranean,EE,Estonia,Other Europe,6,17
CY,Cyprus,ESRA Mediterranean,ES,Spain,ESRA Mediterranean,61,53
CY,Cyprus,ESRA Mediterranean,FI,Finland,ESRA North-West,116,103
CY,Cyprus,ESRA Mediterranean,FR,France,ESRA North-West,512,451
CY,Cyprus,ESRA Mediterranean,GB,United Kingdom,ESRA North-West,6766,6921
CY,Cyprus,ESRA Mediterranean,GE,Georgia,Other Europe,5,9
CY,Cyprus,ESRA Mediterranean,GR,Greece,ESRA Mediterranean,4749,5267
CY,Cyprus,ESRA Mediterranean,HR,Croatia,ESRA East,33,37
CY,Cyprus,ESRA Mediterranean,HU,Hungary,ESRA East,174,172
CY,Cyprus,ESRA Mediterranean,IE,Ireland,ESRA North-West,8,8
CY,Cyprus,ESRA Mediterranean,IT,Italy,ESRA Mediterranean,337,413
CY,Cyprus,ESRA Mediterranean,LT,Lithuania,Other Europe,120,143
CY,Cyprus,ESRA Mediterranean,LU,Luxembourg,ESRA North-West,10,10
