origin_iso,origin_name,originregion_name,destination_iso,destination_name,destinationregion_name,countryflow_2001,countryflow_2002,countryflow_2003,countryflow_2004,countryflow_2005,countryflow_2006,countryflow_2007,countryflow_2008,countryflow_2009,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014,countryflow_2015
BA,Bosnia & Herzegovina,ESRA East,FR,France,ESRA North-West,132,50,34,25,28,27,27,39,33,36,27,30,84,172,160
BA,Bosnia & Herzegovina,ESRA East,GB,United Kingdom,ESRA North-West,13,69,74,74,50,24,141,112,19,14,20,16,17,13,14
BA,Bosnia & Herzegovina,ESRA East,GE,Georgia,Other Europe,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0
BA,Bosnia & Herzegovina,ESRA East,GR,Greece,ESRA Mediterranean,4,11,15,6,14,21,10,20,15,16,24,13,15,24,26
BA,Bosnia & Herzegovina,ESRA East,HR,Croatia,ESRA East,1001,1036,1001,928,878,1108,1057,1125,858,873,756,709,658,697,753
BA,Bosnia & Herzegovina,ESRA East,HU,Hungary,ESRA East,199,228,332,353,378,368,357,366,342,339,308,33,26,28,23
BA,Bosnia & Herzegovina,ESRA East,IE,Ireland,ESRA North-West,19,6,6,7,14,6,3,3,2,5,1,1,1,2,8
BA,Bosnia & Herzegovina,ESRA East,IT,Italy,ESRA Mediterranean,374,359,161,96,393,873,630,345,329,388,522,774,700,681,709
BA,Bosnia & Herzegovina,ESRA East,LT,Lithuania,Other Europe,0,0,1,0,2,0,0,0,3,2,4,1,2,2,2
BA,Bosnia & Herzegovina,ESRA East,LU,Luxembourg,ESRA North-West,0,1,2,1,3,3,3,12,6,6,5,2,1,1,0
BA,Bosnia & Herzegovina,ESRA East,LV,Latvia,Other Europe,0,0,0,2,1,0,0,0,2,0,0,1,3,0,0
BA,Bosnia & Herzegovina,ESRA East,MD,Moldova,ESRA East,0,0,1,1,0,2,2,2,2,1,2,0,0,0,0
BA,Bosnia & Herzegovina,ESRA East,MK,Macedonia,ESRA East,105,15,11,9,17,29,60,132,76,7,4,13,3,9,9
BA,Bosnia & Herzegovina,ESRA East,MT,Malta,ESRA Mediterranean,2,2,1,0,0,4,2,2,0,2,1,1,1,0,1
BA,Bosnia & Herzegovina,ESRA East,NL,Netherlands,ESRA North-West,10,64,124,8,12,15,6,2,3,8,131,16,3,56,105
BA,Bosnia & Herzegovina,ESRA East,NO,Norway,ESRA North-West,14,29,39,2,1,1,6,21,15,15,15,18,40,19,91
BA,Bosnia & Herzegovina,ESRA East,PL,Poland,ESRA East,1,1,0,1,5,4,5,4,3,2,4,18,3,3,9
BA,Bosnia & Herzegovina,ESRA East,PT,Portugal,ESRA Mediterranean,3,3,2,4,3,3,0,1,1,0,6,0,3,5,1
BA,Bosnia & Herzegovina,ESRA East,RO,Romania,ESRA East,4,3,4,4,3,9,13,13,6,7,13,6,6,5,13
BA,Bosnia & Herzegovina,ESRA East,RS,Serbia,ESRA East,405,429,483,680,677,658,552,732,797,915,756,788,759,1144,818
BA,Bosnia & Herzegovina,ESRA East,SE,Sweden,ESRA North-West,75,76,62,23,24,17,17,33,123,157,111,51,195,342,399
BA,Bosnia & Herzegovina,ESRA East,SI,Slovenia,ESRA East,384,413,394,394,439,413,443,598,402,436,463,308,306,475,357
BA,Bosnia & Herzegovina,ESRA East,SK,Slovakia,ESRA East,3,10,11,8,6,5,5,7,20,14,4,7,36,12,12
BA,Bosnia & Herzegovina,ESRA East,TR,Turkey,ESRA Mediterranean,351,289,289,346,534,635,651,716,746,786,802,919,1323,1415,1378
BA,Bosnia & Herzegovina,ESRA East,UA,Ukraine,ESRA East,10,6,4,5,2,3,6,2,2,3,2,1,3,1,2
BE,Belgium,ESRA North-West,AL,Albania,ESRA East,2,4,1,0,5,6,45,1,29,67,156,171,147,144,261
BE,Belgium,ESRA North-West,AM,Armenia,Other Europe,2,40,0,0,5,6,5,2,4,6,4,10,6,2,6
BE,Belgium,ESRA North-West,AT,Austria,ESRA North-West,3803,4154,3775,3694,3603,3879,4082,3937,3374,3062,3014,2704,2813,2767,2794
BE,Belgium,ESRA North-West,BA,Bosnia & Herzegovina,ESRA East,7,3,9,7,9,5,10,5,13,5,8,14,16,13,9
BE,Belgium,ESRA North-West,BE,Belgium,ESRA North-West,4714,4349,5109,5525,4800,4566,4752,5967,6299,7060,7943,6238,6221,6268,5609
BE,Belgium,ESRA North-West,BG,Bulgaria,ESRA East,389,299,389,440,514,549,606,764,774,784,817,754,732,791,828
BE,Belgium,ESRA North-West,CH,Switzerland,ESRA North-West,6013,5763,5221,5564,5343,5234,5885,6130,5468,5756,6097,6022,5725,5710,6074
BE,Belgium,ESRA North-West,CY,Cyprus,ESRA Mediterranean,222,183,190,256,289,296,246,239,234,265,320,480,294,272,278
BE,Belgium,ESRA North-West,CZ,Czechia,ESRA East,1476,1684,1786,2033,2173,2097,2582,2645,2556,2321,2493,2046,2032,2029,2317
BE,Belgium,ESRA North-West,DE,Germany,ESRA North-West,21338,17249,16519,16421,16534,17711,18397,18339,16486,14631,15474,14741,13771,13595,15080
BE,Belgium,ESRA North-West,DK,Denmark,ESRA North-West,5913,4924,4615,4440,4525,3773,4094,4070,3390,3567,3902,3722,3506,3420,3970
BE,Belgium,ESRA North-West,EE,Estonia,Other Europe,3,3,3,60,192,215,281,261,188,121,253,478,459,427,450
BE,Belgium,ESRA North-West,ES,Spain,ESRA Mediterranean,16048,13530,14876,15409,16241,16772,16845,16117,14899,16399,17750,16528,17356,19645,20901
